0.487961	3.822674	-8724629.061990	2068634.156200
13.531704	2.757598	-8481238.261120	2027618.843968
3.745164	2.008041	-8665062.756617	2031614.983362
9.026063	5.313635	-8559610.072187	2081738.408422
9.011881	5.471883	-8559465.239514	2085260.475693
6.032378	5.660090	-8614544.919759	2092627.681238
1.591340	5.120231	-8700001.914376	2092090.638067
0.781638	4.596363	-8715844.687927	2084572.033670
2.139539	3.509901	-8692617.570772	2061009.264533
4.361887	1.473130	-8654084.723238	2020328.244315
8.072730	0.945436	-8585947.370892	2003881.297197
10.478522	2.576797	-8536942.181520	2030867.716549
11.240125	2.170652	-8523918.884618	2022409.286603
13.204846	2.867274	-8485923.080255	2031001.977342
